,date,country_code,country,local_currency,local_price,price
0,2022-02-25,MUS,Mauritius,MUR,25.0,0.57
1,2022-02-25,MAR,Morocco,MAD,5.9,0.62
2,2022-02-25,ZAF,South Africa,ZAR,8.5,0.56
3,2022-02-25,EGY,Egypt,EGP,14.0,0.89
4,2022-02-25,CIV,Ivory Coast,XOF,320.0,0.54
5,2022-02-25,BRA,Brazil,BRL,2.8,0.54
6,2022-02-25,CAN,Canada,CAD,0.83,0.65
7,2022-02-25,COL,Colombia,COP,2350.0,0.7
8,2022-02-25,ARG,Argentina,ARS,96.0,0.89
9,2022-02-25,CHL,Chile,CLP,610.0,0.73
10,2022-02-25,PAN,Panama,USD,0.98,0.98
11,2022-02-25,MEX,Mexico,MXN,14.5,0.71
12,2022-02-25,USA,United States,USD,0.75,0.75
13,2022-02-25,AUS,Australia,AUD,0.77,0.56
14,2022-02-25,CHN,China,CNY,3.8,0.6
15,2022-02-25,PHL,Philippines,PHP,32.0,0.62
16,2022-02-25,TWN,Taiwan,TWD,18.0,0.64
17,2022-02-25,HKG,Hong Kong,HKD,4.4,0.56
18,2022-02-25,JPN,Japan,JPY,91.8,0.8
19,2022-02-25,MYS,Malaysia,MYR,2.35,0.56
20,2022-02-25,NZL,New Zealand,NZD,0.92,0.62
21,2022-02-25,SGP,Singapore,SGD,0.74,0.55
22,2022-02-25,KOR,South Korea,KRW,650.0,0.52
23,2022-02-25,THA,Thailand,THB,22.0,0.68
24,2022-02-25,AUT,Austria,EUR,0.44,0.5
25,2022-02-25,BEL,Belgium,EUR,0.43,0.48
26,2022-02-25,BGR,Bulgaria,BGN,0.91,0.52
27,2022-02-25,HRV,Croatia,HRK,3.5,0.52
28,2022-02-25,CZE,Czech Republic,CZK,11.2,0.51
29,2022-02-25,DNK,Denmark,DKK,3.49,0.53
30,2022-02-25,EST,Estonia,EUR,0.46,0.52
31,2022-02-25,ESP,Spain,EUR,0.42,0.47
32,2022-02-25,FIN,Finland,EUR,0.46,0.52
33,2022-02-25,FRA,France,EUR,0.42,0.47
34,2022-02-25,DEU,Germany,EUR,0.42,0.47
35,2022-02-25,GRC,Greece,EUR,0.42,0.47
36,2022-02-25,HUN,Hungary,HUF,145.0,0.45
37,2022-02-25,ISL,Iceland,ISK,77.9,0.62
38,2022-02-25,IRL,Ireland,EUR,0.42,0.47
39,2022-02-25,ITA,Italy,EUR,0.42,0.47
40,2022-02-25,LVA,Latvia,EUR,0.46,0.52
41,2022-02-25,LIE,Liechtenstein,CHF,0.52,0.56
42,2022-02-25,LUX,Luxembourg,EUR,0.43,0.48
43,2022-02-25,MLT,Malta,EUR,0.51,0.57
44,2022-02-25,NLD,The Netherlands,EUR,0.42,0.47
45,2022-02-25,NOR,Norway,NOK,4.59,0.52
46,2022-02-25,POL,Poland,PLN,1.9,0.46
47,2022-02-25,PRT,Portugal,EUR,0.42,0.47
48,2022-02-25,ROU,Romania,RON,2.0,0.46
49,2022-02-25,RUS,Russia,RUB,35.0,0.42
50,2022-02-25,SRB,Serbia,RSD,56.0,0.54
51,2022-02-25,SVK,Slovakia,EUR,0.44,0.5
52,2022-02-25,SWE,Sweden,SEK,4.49,0.48
53,2022-02-25,CHE,Switzerland,CHF,0.52,0.56
54,2022-02-25,GBR,United Kingdom,GBP,0.39,0.52
55,2022-02-25,CYP,Cyprus,EUR,0.45,0.51
56,2022-02-25,ISR,Israel,ILS,2.22,0.69
57,2022-02-25,JOR,Jordan,JOD,0.58,0.82
58,2022-02-25,BHR,Bahrain,BHD,0.28,0.74
59,2022-02-25,SAU,Kingdom of Saudi Arabia,SAR,3.335,0.89
60,2022-02-25,KWT,Kuwait,KWD,0.195,0.64
61,2022-02-25,OMN,Oman,OMR,0.3,0.78
62,2022-02-25,QAT,Qatar,QAR,2.9,0.8
63,2022-02-25,ARE,Arab Emirates,AED,2.7,0.74
